Name	K17+ TUMOR
Color	-65536
Coordinates	27
1120.3598	1194.9330
1551.8724	1064.6209
1317.7788	1047.4540
1143.7692	499.6749
1867.1185	19.7830
1853.0729	40.8514
1843.7091	22.9042
1798.4510	32.2680
1780.5039	46.3136
1758.6551	37.7302
1762.5567	11.1996
1729.0033	18.2224
1722.7608	5.7374
1146.1101	1169.1827
989.2674	1036.5297
979.9036	1006.0975
988.4871	979.5669
247.1906	1127.8262
264.3574	1185.5693
204.2734	1102.0759
79.4235	671.3436
175.4019	1111.4396
285.2471	354.7112
64.0658	28.3822
444.7445	906.7084
478.2979	911.3902
112.3315	1140.8020
