Name	CD4
Color	-65536
Coordinates	25
40.4979	925.2088
211.2793	788.1190
624.1902	885.9209
111.3664	670.7793
70.7041	626.6318
26.5566	714.9269
1174.3936	1062.2987
1333.5573	1085.5342
1570.2030	404.2878
1576.4921	429.9686
1485.8230	427.3481
1793.4692	543.6981
1861.6020	359.2153
1882.0419	279.5522
1596.9320	436.2578
1895.1444	147.4792
1884.6624	261.7328
1556.0523	257.0159
579.6557	142.7623
1252.0748	190.4554
401.4481	1140.1090
381.5324	1050.4880
639.3891	864.4329
612.1360	867.0534
1914.6024	888.0975
