Name	K17-
Color	-65536
Coordinates	40
399.5200	583.5388
259.0614	569.9122
247.0071	580.9183
266.9229	584.0629
417.8634	505.4480
715.5517	472.4298
696.1600	451.9899
435.5587	54.2765
435.5587	27.5475
418.2635	13.9209
409.8392	324.6103
472.5752	326.9339
371.6429	560.9122
365.3537	540.9965
384.2212	545.7134
382.1248	534.1832
356.4440	524.2253
341.2451	572.4424
1273.2823	643.3694
1274.8430	664.4378
1252.9942	626.2025
690.3892	431.1245
670.1011	419.4198
684.1467	372.6011
702.0939	402.2530
737.9882	382.7451
713.7985	374.1617
721.6017	353.0933
754.3748	337.4870
720.8214	326.5627
794.9510	408.4954
795.7313	438.9276
788.7085	467.7992
662.2979	399.9120
952.9781	523.9402
405.1990	389.7265
234.7327	1137.9600
369.7267	1161.3694
333.8323	1154.3466
431.3713	1179.3166
