wsi,dan
L28352-multires,L28352_2
L29978-multires,L29978_2
L6745-multires,L6745_0
M036-multires,M036_15
M28417-multires,M28417_2
M3171-multires,M3171_100
M3669-multires,M3669_50
M4213-multires,M4213_2
N0982-multires,N0982_10_ariah
N22034-multires,N22034_90
N22800-multires,N22800_20
N24178-multires,N24178_80
N24852-multires,N24852_5
N27093-multires,N27093_95
N27243-multires,N27243_5
N27702-multires,N27702_20
N28217-multires,N28217_2_ariah
N29055-multires,N29055_30
3908-multires,N3908_70
N4277-multires,N4277_0
N5039-multires,N5039_5
N8032-multires,N8033_95
N8945-multires,N8945_50
N9430-multires,N9430_90
O0135-multires,O0135_95
O21073-multires,O21073_30
O21747-multires,O21747_95
O31013-multires,O31013_80_ariah
O3105-multires,O3105_10
O31619-multires,O31619_0
O3936-multires,O3936_2
O5498-multires,O5498_5
O6218_MULTI_3-multires,O6218_30
O8372-multires,O8372_10
P0533-multires,P0533_50
P0992-multires,P0992_80
P22001-multires,P22034_2
P23541-multires,P23541_30
P24146-multires,P24146_90
P24230-multires,P24230_20
P28191-multires,P28191_80
P2919-multires,P2919_20
P29193-multires,P29193_65
P304-multires,P304_80
P31681-multires,P31681_40_ariah
P4211-multires,P4211_0
P528-multires,P528_30_ariah
P670-multires,P670_5
